"","alpha_range0","cp0_0.5","cp0_0","ln0_0.5","ln0_0","alpha_range0.5","cp0.5_0.5","cp0.5_0","ln0.5_0.5","ln0.5_0"
"1",-0.2,0.729,0.744,1.14743391254517,1.11901975470131,0.3,0.741,0.718,1.10642001525974,1.11860574047917
"2",-0.18,0.781,0.79,1.14629391010692,1.11471754745408,0.32,0.78,0.757,1.10669385292583,1.11643571532642
"3",-0.16,0.821,0.823,1.14505039642748,1.1101255936601,0.34,0.823,0.805,1.10701669346136,1.11403053421943
"4",-0.14,0.858,0.859,1.14368642337753,1.10524543823538,0.36,0.858,0.841,1.10737029323416,1.11137829700893
"5",-0.12,0.887,0.883,1.14218522637942,1.10008042773064,0.38,0.88,0.864,1.1077357122583,1.10846861004186
"6",-0.1,0.906,0.917,1.14053037362156,1.09463567711494,0.4,0.905,0.896,1.10809340354005,1.10529269537964
"7",-0.08,0.918,0.939,1.1387059189964,1.08891801439672,0.42,0.915,0.914,1.10842331702057,1.10184348257805
"8",-0.06,0.928,0.947,1.13669655639923,1.08293590427353,0.44,0.931,0.932,1.10870501755889,1.09811568118149
"9",-0.04,0.94,0.953,1.13448777294633,1.07669935251056,0.46,0.943,0.941,1.10891781606973,1.09410583245405
"10",-0.02,0.95,0.953,1.13206599841659,1.07021979321184,0.48,0.952,0.941,1.10904091261619,1.08981233933407
"11",0,0.951,0.952,1.12941874829135,1.06350996124244,0.5,0.951,0.952,1.10905354978179,1.08523547396387
"12",0.02,0.945,0.953,1.12653475789786,1.05658375254414,0.52,0.948,0.946,1.10893517450113,1.08037736271181
"13",0.04,0.933,0.936,1.12340410503666,1.04945607501316,0.54,0.941,0.93,1.10866560603417,1.07524194905006
"14",0.06,0.917,0.916,1.12001831896939,1.0421426928132,0.56,0.919,0.917,1.10822520762894,1.06983493513264
"15",0.08,0.896,0.892,1.11637047367799,1.03466006680165,0.58,0.901,0.894,1.10759505919345,1.06416370340139
"16",0.1,0.875,0.868,1.11245526375069,1.02702519378827,0.6,0.876,0.869,1.10675712811289,1.05823721982819
"17",0.12,0.851,0.839,1.10826906156904,1.01925544709815,0.62,0.84,0.839,1.10569443533828,1.05206592094841
"18",0.14,0.813,0.802,1.10380995490639,1.0113684207752,0.64,0.804,0.803,1.10439121385163,1.04566158681098
"19",0.16,0.773,0.764,1.09907776432383,1.00338177945372,0.66,0.757,0.755,1.10283305675917,1.03903720248294
"20",0.18,0.733,0.709,1.09407404039487,0.995313115834603,0.68,0.718,0.708,1.10100705234271,1.03220681060779
"21",0.2,0.684,0.644,1.08880204091995,0.987179817247908,0.7,0.679,0.659,1.09890190377019,1.02518535766025
